,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
136,다솜음악미술어린이집,경기도 광명시 광명동 719-15번지 대흥빌라트,N,0,6,37.469904,126.854731
137,무지개어린이집,경기도 광명시 광명동 309-6,N,0,6,37.471199,126.855149
138,신예랑어린이집,경기도 광명시 광명동 716-1번지,N,0,6,37.471001,126.855911
139,하안초등학교,경기도 광명시 하안동 649번지,Y,1,6,37.463002,126.873926
140,예림유치원,경기도 광명시 광명동 724-14번지,N,0,6,37.4687773,126.8523554
141,경기도 양평군 양수초등학교,경기도 양평군 양서면 용담리 212번지,Y,2,8m,37.5446290553,127.3252724970
142,혜성유치원,경기도 광명시 하안동 13번지 하안9단지고층주공아파트,Y,1,6,37.467664,126.877475
143,광명동초등학교,경기도 광명시 철산동 78-4번지,Y,2,6,37.483535,126.863128
144,경기도 양평군 대아초등학교,경기도 양평군 양서면 증동리 573번지,Y,2,8m,37.5275444130,127.4156568794
145,광명북초등학교,경기도 광명시 철산동 87번지,Y,2,6,37.486841,126.867822
146,구름산어린이집,경기도 광명시 철산동 620번지,Y,1,6,37.468925,126.865816
147,예그린유치원,경기도 광명시 하안동 296-3번지,Y,1,6,37.461162,126.877804
148,예지유치원,경기도 광명시 철산동 58번지 우성아파트,Y,1,6,37.488971,126.868322
149,미래숲어린이집,경기도 오산시 서동 129-10번지,Y,1,6,37.14532588,127.044384
150,세교복지타운어린이집,경기도 오산시 원동 404-10번지,Y,1,15,37.1385649549,127.0723782500
151,오산대유치원,경기도 오산시 청학동 17번지 오산대학,N,0,6,37.15356744,127.0632067
152,혜명유치원,경기도 오산시 오산동 794-2번지 혜명유치원,Y,1,13,37.1374371,127.0671955
153,해에게서소년에게 유치원,경기도 오산시 은계동 72-7번지 해에게서소년에게어린이집,Y,1,6,37.16123671,127.070584
154,창의나라 유치원,경기도 오산시 금암동 534-1번지,Y,1,6,37.171456,127.0494621
155,펀키즈 유치원,경기도 오산시 세교동 401번지 펀키즈유치원,Y,1,4,37.18794191,127.0346338
156,오르다유치원,경기도 오산시 원동 121-1번지,Y,1,6,37.14391269,127.0795105
157,지움 어린이집,경기도 오산시 누읍동 621번지 휴먼시아,Y,1,6,37.1400538,127.0517557
158,행복아이 어린이집,경기도 오산시 누읍동 629-6번지,Y,1,6,37.13946141,127.053947
159,아이펀 어린이집,경기도 오산시 누읍동 503-2번지,Y,1,6,37.1401373,127.0497901
160,시립세마어린이집,경기도 오산시 세교동 603-2번지,Y,1,12,37.18460817,127.0449164
161,설리반어린이집,경기도 오산시 수청동 519-3번지,N,0,5,37.1641268,127.061041
162,가수초등학교,경기도 오산시 가수동 25번지,Y,1,12,37.14810336,127.0479566
163,대호초등학교,경기도 오산시 궐동 661번지,Y,3,12,37.15910626,127.0578885
164,성산초등학교,경기도 오산시 오산동 524-1번지,Y,3,12,37.15044407,127.0670404
165,운산초등학교,경기도 오산시 오산동 923-1번지,Y,2,12,37.15263986,127.0775339
166,시립가온어린이집,경기도 오산시 오산동 34-5번지,Y,1,17,37.15954961,127.0768564
167,시립오산어린이집,경기도 오산시 원동 760-5번지,Y,1,5,37.14711857,127.0711383
168,지구촌어린이집,경기도 오산시 은계동 78번지,Y,1,6,37.1607324,127.072015
169,영락어린이집,경기도 오산시 궐동 55-7번지,Y,1,6,37.15771308,127.0683167
170,좋은아이어린이집,경기도 오산시 수청동 407-4번지,Y,1,5,37.164621,127.0609014
171,둥근해어린이집,경기도 오산시 궐동 621-1번지,N,0,7,37.161239,127.0565077
172,그린어린이집,경기도 오산시 오산동 861-14번지,N,0,4,37.1497758,127.0696108
173,리틀램어린이집,경기도 오산시 벌음동 329번지,N,0,3,37.142546,127.035169
174,설리반어린이집,경기도 오산시 수청동 519-3번지,N,0,5,37.1641268,127.061041
175,성심학교,경기도 오산시 지곶동 559-1번지,N,0,25,37.1767618,127.0175214
176,대호초등학교,경기도 오산시 궐동 661번지,Y,3,12,37.15910626,127.0578885
177,성산초등학교,경기도 오산시 오산동 524-1번지,Y,3,12,37.15044407,127.0670404
178,오산초등학교,경기도 오산시 가수동 76번지,Y,3,6,37.14515778,127.0501654
179,오산대원초등학교,경기도 오산시 갈곶동 258번지,Y,2,6,37.13055343,127.0711912
180,운산초등학교,경기도 오산시 오산동 923-1번지,Y,2,12,37.15263986,127.0775339
181,원동초등학교,경기도 오산시 원동 805번지,Y,2,12,37.13552815,127.069748
